,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
0,1,6722,20.5,37312,accomack county,32790,2010,734,826,9443,256121,669368,42187,95329,69258,603275,30526,23563,76816,1092202,51167,33868,1122728,10723,222749,296704,33150,3731,74730,129958,18051,14320,464680
1,3,8419,9.1,61845,albemarle county,92516,2010,2297,2514,36318,1611944,5972951,341821,735779,581248,4301638,-1140,-10408,632445,7269881,854558,50950,7268741,-1038868,2180543,786560,142663,22196,844150,1026403,112944,90748,4102398
2,5,2096,13.1,43110,alleghany county,16000,2010,238,253,2365,64972,451606,31611,57444,51702,381859,-2042,-2322,57462,705647,19217,31774,703605,-12285,102743,219003,22144,1352,16895,83295,9903,8551,351416
3,7,1432,11.4,49057,amelia county,12561,2010,280,286,1866,52307,143066,9696,15259,13136,267116,16485,12806,16264,409097,21461,33403,425582,140314,59809,98657,12741,1662,34267,21827,4364,2702,86972
4,9,4221,13.6,42063,amherst county,31037,2010,567,601,6697,193779,456055,32277,64045,48316,576212,-2933,-3697,56435,972617,41939,29939,969684,176592,140661,252811,32389,2921,38242,88203,12472,9551,329610
5,11,2099,14.1,44479,appomattox county,14887,2010,292,297,2408,58396,152044,12286,21081,15618,269588,-3758,-4446,20095,465821,22286,30618,462063,137639,61801,130674,15091,1570,17840,28890,5112,3542,105314
6,13,14903,7.2,93231,arlington county,206986,2010,4654,6019,126195,8897590,20274242,1078354,2394589,2190244,12735445,0,0,2173476,16591315,1642270,79263,16591315,-5365321,2976104,879766,209319,27711,1642270,3489711,210386,182675,15142261
7,15,6734,9.5,50534,augusta county,70884,2010,1308,1390,18533,685653,2645300,168149,311520,249184,2661947,25922,17366,292741,4214321,491765,35837,4240243,309388,687639,890657,118320,12993,509131,436112,61243,48250,1700057
8,17,520,11.2,41266,bath county,4643,2010,136,140,1698,54614,109581,7373,12767,11646,90080,-1125,-1660,13196,183263,18057,38580,182138,-6305,51023,41035,4721,637,16397,18590,2883,2246,74594
9,19,6667,9.8,51656,bedford county,68031,2010,1390,1436,12682,387881,979217,71420,114659,102578,1714860,-4939,-6935,122709,2728569,140463,36300,2723630,858352,460526,548244,75032,9069,133528,165948,29699,20630,679741
