,GeoFIPS,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
0," ""51000""",Virginia,253297482,14929484,31270766,27361798,237770954,348305,92631,28610383,349080210,16738235,44087,349428515,13083855,66248218,45409343,7925937,893192,16830866,44951665,4758119,3864927,191514951,2009
1," ""51001""","Accomack, VA",654540,41267,94947,67440,593312,34427,26711,74987,1067953,40180,32991,1102380,13759,230153,278915,33415,3770,66891,128667,18095,14325,458982,2009
2," ""51007""","Amelia, VA",130820,9469,15965,13098,251619,9209,5547,16018,393043,15384,31940,402252,136817,60671,89962,12594,1695,20931,22514,4471,2776,87375,2009
3," ""51009""","Amherst, VA",463273,32673,67389,49304,579157,-2690,-3445,57325,965799,34546,29683,963109,173209,144903,239049,32447,2967,31101,92041,13030,10063,340131,2009
4," ""51011""","Appomattox, VA",153669,12387,21643,15912,272557,-3589,-4159,20343,461854,19716,30939,458265,139231,64060,121648,14812,1548,15557,29599,5066,3518,108513,2009
5," ""51013""","Arlington, VA",18223945,990495,2286667,2044692,11254789,0,0,2012841,15028023,796314,74162,15028023,-4956315,3019207,754027,202637,27541,796314,3309013,205930,178389,14118618,2009
6," ""51017""","Bath, VA",90911,6833,12632,11290,71519,-735,-1285,12478,171527,-524,36009,170792,-6914,60662,38611,4743,642,-1809,18277,2885,2243,74443,2009
7," ""51019""","Bedford, VA*",935559,69485,117451,97014,1693485,-5900,-7955,117992,2685458,118729,35932,2679558,875918,473216,512857,74573,9127,110774,165958,29344,20217,658827,2009
8," ""51021""","Bland, VA",109105,7560,19531,11312,103698,-1207,-1786,13216,190135,7853,27508,188928,7809,31568,53662,6868,767,6067,25187,2891,2124,77851,2009
9," ""51023""","Botetourt, VA",484827,34273,63424,51298,866910,-1746,-3167,59922,1294809,50796,39134,1293063,442005,211044,215109,33042,3985,47629,89073,13707,9722,348125,2009
10," ""51025""","Brunswick, VA",212482,14868,32132,22364,246570,8012,6287,26050,458425,8351,26643,466437,60138,67223,152644,17507,1272,14638,43314,6351,5079,154530,2009
11," ""51027""","Buchanan, VA",459231,33679,61102,49878,345109,-616,-664,58618,711256,24142,29324,710640,-55504,102017,263514,24234,1279,23478,86041,9682,8403,349712,2009
12," ""51029""","Buckingham, VA",168862,12324,24442,16472,231137,3107,2010,20560,393435,19736,23125,396542,82835,56951,108454,17148,1381,21746,32678,4889,3508,114438,2009
13," ""51033""","Caroline, VA",287854,20160,43279,30182,631723,-475,-2343,35251,949576,29115,33581,949101,379120,142166,175212,28263,2603,26772,58370,8349,5746,202712,2009
14," ""51036""","Charles City, VA",88291,6268,10562,8830,143690,3801,2683,10683,231398,10659,32594,235199,66082,39179,52330,7216,525,13342,14977,2134,1609,59972,2009
15," ""51037""","Charlotte, VA",130951,10543,20121,12764,169688,3969,2421,16925,331383,16079,26641,335352,55662,56822,108842,12588,1903,18500,26503,5013,3110,85948,2009
16," ""51041""","Chesterfield, VA",6947980,422715,857277,736750,9497426,884,211,791090,13208101,504390,42188,13208985,3340536,2141109,1570450,313096,35680,504601,1225652,158280,122600,5217727,2009
17," ""51043""","Clarke, VA",259589,17367,25613,24584,463642,2769,-1506,29659,705803,53898,50558,708572,233712,165496,79434,14015,2771,52392,37905,7145,4374,169292,2009
18," ""51045""","Craig, VA",33569,3130,5015,3190,85895,-694,-1099,4725,148622,6020,28892,147928,57051,24846,37187,5120,652,4921,6610,1382,730,22038,2009
19," ""51047""","Culpeper, VA",811120,52168,103118,84764,1124664,1179,-3499,94550,1669290,89002,36129,1670469,408094,293150,252655,46236,6127,85503,145500,21709,15582,580117,2009
20," ""51049""","Cumberland, VA",71200,5597,9475,6164,159128,7235,6204,8679,263963,10904,27085,271198,96607,39133,72937,10013,744,17108,12557,2212,1468,41535,2009
21," ""51051""","Dickenson, VA",207037,16818,29116,21736,200939,-1447,-1505,27686,430004,12746,26911,428557,21588,55929,171689,15925,839,11241,39984,5055,4216,155812,2009
22," ""51057""","Essex, VA",179204,12138,23751,18352,213215,4799,4000,21314,365861,16421,33381,370660,55325,71411,86034,11104,1329,20421,32927,5619,4290,125856,2009
23," ""51061""","Fauquier, VA",1322218,84518,141975,130942,2327745,-7666,-19922,149989,3509581,218115,53953,3501915,1155516,865215,308955,64907,10195,198193,207446,32479,22284,916579,2009
24," ""51063""","Floyd, VA",134768,10994,17433,12550,260645,3273,-1803,17269,438607,28399,29167,441880,143146,71813,109422,15150,2496,26596,23708,5637,3141,84464,2009
25," ""51065""","Fluvanna, VA",232800,17886,31507,21424,553398,-339,-963,28598,876335,42052,34251,875996,349196,177034,145564,25576,2989,41089,42219,7407,4418,149492,2009
26," ""51067""","Franklin, VA",643746,48700,77997,65120,993825,5893,1189,81260,1722444,101424,31012,1728337,431339,322859,411653,55732,6893,102613,110557,21042,14149,430576,2009
27," ""51071""","Giles, VA",266201,19187,40832,28334,298131,-1853,-2221,33354,523830,20444,30235,521977,65284,78491,145355,17264,1750,18223,54999,6991,5241,192979,2009
28," ""51073""","Gloucester, VA",437501,30947,58751,43714,968346,2952,2425,52804,1486242,49804,40491,1489194,583649,294148,226700,36778,3852,52229,80608,13976,10124,304664,2009
29," ""51075""","Goochland, VA",915628,55091,95422,93384,890473,-19,-2260,101783,1423008,36394,65867,1422989,76628,397107,135409,21604,3538,34134,142114,15186,11648,739380,2009
30," ""51077""","Grayson, VA",109741,11008,17094,11054,199930,-1078,-2916,16535,410599,17929,26091,409521,106724,69519,140072,15696,2133,15013,22621,4847,2714,72107,2009
31," ""51079""","Greene, VA",180413,13035,20877,17468,407326,892,169,21769,596483,30007,32756,597375,248682,94843,95206,18237,2078,30176,29611,5682,3604,120626,2009
32," ""51083""","Halifax, VA",580629,40420,87516,62680,545324,9951,6459,71760,1016043,34268,28270,1025994,36455,165288,315382,36293,3274,40727,118856,16357,13083,421046,2009
33," ""51085""","Hanover, VA",2443044,150665,282360,265950,3086678,6398,-740,283640,4352991,175596,43747,4359389,927274,750267,522444,99651,13070,174856,415335,61410,48340,1852853,2009
34," ""51087""","Henrico, VA",11429045,683992,1230753,1197072,9543327,2077,808,1282528,13672894,1023868,44871,13674971,-603190,2464954,1666690,304763,38002,1024676,1829289,219672,181670,8575080,2009
35," ""51091""","Highland, VA",24418,2080,3777,2238,28999,-376,-961,3199,74982,4864,31573,74606,7780,26546,19061,2363,711,3903,4896,1316,605,15619,2009
36," ""51093""","Isle of Wight, VA",632624,41147,77745,65574,1093696,8049,6015,73934,1561064,46467,44489,1569113,535006,247370,228047,35270,3538,52482,110532,15356,11818,469610,2009
37," ""51097""","King and Queen, VA",75845,5309,10061,7540,144129,2910,2170,9079,229230,10994,33678,232140,77363,38373,49638,6893,761,13164,13831,2015,1254,48850,2009
38," ""51099""","King George, VA",980099,53066,152116,109322,709498,-2834,-3297,107727,1016520,54178,43441,1013686,-162874,199246,104942,23335,2435,50881,206777,13186,10751,722441,2009
39," ""51101""","King William, VA",203219,13928,24295,20884,398242,3293,1455,24370,573383,19644,36573,576676,219393,86333,92101,15768,1684,21099,34737,5590,3906,147383,2009
40," ""51103""","Lancaster, VA",236441,17695,28208,22948,196278,-479,-797,29169,497432,36187,43581,496953,-10994,182728,117947,11403,1999,35390,39682,7176,5177,161369,2009
41," ""51105""","Lee, VA",259814,20971,42671,27698,325345,-3423,-4271,34820,652630,20371,25381,649207,100351,85711,238151,25578,2240,16100,56520,8151,5911,187194,2009
42," ""51107""","Loudoun, VA",10124694,589002,1068076,1053210,15326572,-2059,-12943,1115607,18773257,778109,61816,18771198,6317485,2630622,814004,303661,40583,765166,1594681,179822,139239,7764847,2009
43," ""51109""","Louisa, VA",530854,34762,78340,52968,741525,-1917,-3239,61246,1131587,55075,34399,1129670,271917,183218,204927,32840,3533,51836,104824,11830,8297,374194,2009
44," ""51111""","Lunenburg, VA",128024,9782,18743,13438,164464,2826,1351,16501,322941,9645,25279,325767,52941,61129,100174,12887,962,10996,25462,3912,2950,91566,2009
45," ""51113""","Madison, VA",144641,11035,19693,15568,252787,-1738,-4400,18819,431776,19118,32193,430038,126965,95701,81550,13358,2023,14718,27477,5427,3404,102446,2009
46," ""51115""","Mathews, VA",86624,7788,9307,7126,218734,36,-254,11351,409144,24834,45480,409180,143461,114379,76067,8997,1368,24580,12870,3131,1763,49174,2009
47," ""51117""","Mecklenburg, VA",532142,37386,78789,58556,467150,7901,3328,66664,920717,27229,28299,928618,1672,170711,290757,32815,2976,30557,108067,16285,13309,393518,2009
48," ""51119""","Middlesex, VA",165097,12517,22022,15024,198721,2479,1440,20029,413638,28259,38264,416117,53653,119370,98026,10875,1854,29699,29534,5483,3629,105864,2009
49," ""51125""","Nelson, VA",174846,13821,21074,15940,295388,2547,-406,21791,537485,37769,35787,540032,142333,119005,125639,15090,2710,37363,29044,6371,3661,108439,2009
50," ""51127""","New Kent, VA",199028,13997,24999,20360,727902,168,-86,24177,951555,27698,52707,951723,553051,123160,100661,18057,2480,27612,35179,6607,4127,136237,2009
51," ""51131""","Northampton, VA",282193,16075,30101,25338,244106,56424,43127,28744,397814,20158,36456,454238,-9343,92387,117745,12460,1711,63285,42770,7008,5297,176138,2009
52," ""51133""","Northumberland, VA",130462,11877,15867,12212,167452,2552,1775,17983,446941,24268,36311,449493,54973,163341,118700,12379,1641,26043,21973,4389,2748,82446,2009
53," ""51135""","Nottoway, VA",268871,18092,46562,31352,235081,2812,1035,33768,459530,10367,29089,462342,-22,82637,144624,15894,1471,11402,62238,7611,6140,195231,2009
54," ""51137""","Orange, VA",424600,30698,52181,41482,725634,16381,6752,51439,1213485,59194,36901,1229866,352473,261197,243035,33329,4244,65946,72922,13036,8792,285732,2009
55," ""51139""","Page, VA",273452,20030,36766,28266,412157,16506,14218,34163,693534,34569,29492,710040,172868,119020,178863,24076,2632,48787,50899,8791,6159,173766,2009
56," ""51141""","Patrick, VA",203090,16161,30719,21394,238429,2930,731,26858,474576,21381,25725,477506,62197,80877,158200,18562,2228,22112,41416,7576,5348,139562,2009
57," ""51145""","Powhatan, VA",349508,23563,45785,34380,772142,1504,798,40753,1088032,43790,38936,1089536,463387,180859,136535,27983,3281,44588,62975,10216,6935,241945,2009
58," ""51147""","Prince Edward, VA",393230,25567,56923,43378,296710,3624,2735,47256,545094,20945,23591,548718,-49264,96976,155032,23260,2218,23680,78612,11880,9662,290938,2009
59," ""51155""","Pulaski, VA",563699,39133,84077,65134,588590,416,-876,71700,1038591,43162,29696,1039007,96591,151462,298955,34988,2769,42286,116644,15217,12448,404769,2009
60," ""51157""","Rappahannock, VA",104110,7994,9925,8008,211268,-2806,-4324,11998,363052,33041,49127,360246,119156,101908,47070,7333,1600,28717,13929,3238,1638,61464,2009
61," ""51159""","Richmond, VA",144282,9529,21936,14846,134485,3839,2159,16952,243978,9653,26788,247817,7155,53153,60179,9251,968,11812,29359,4067,3099,103111,2009
62," ""51167""","Russell, VA",368251,28794,54589,41314,442248,-2490,-3878,49451,824944,31541,28349,822454,123448,108622,271584,29012,2624,27663,75246,10562,7938,265342,2009
63," ""51169""","Scott, VA",217687,19238,32292,23732,303069,-3234,-3960,31104,611506,15741,26205,608272,116486,92511,212692,23212,2709,11781,44158,8141,5432,161748,2009
64," ""51171""","Shenandoah, VA",629851,43919,82879,62668,806761,8300,5015,75253,1346269,75527,32450,1354569,252163,266008,281800,41743,5668,80542,114213,19863,14195,435096,2009
65," ""51173""","Smyth, VA",553534,39082,85714,61282,472116,-3516,-5253,69723,893694,41440,27574,890178,-11695,127913,290149,32283,3331,36187,116355,15703,12372,400992,2009
66," ""51179""","Stafford, VA",2484272,140198,343002,273282,4349591,-2438,-2843,276839,5829505,185471,46082,5827067,2142158,980069,497407,126449,11967,182628,479643,51150,39183,1822001,2009
67," ""51181""","Surry, VA",224355,12750,40197,22448,154351,3113,1915,23974,233114,5455,33569,236227,-46030,35298,46578,7037,614,7370,51421,2990,2376,165564,2009
68," ""51183""","Sussex, VA",181840,11881,27253,19228,177852,7632,5875,21495,308748,7054,25986,316380,17507,49344,89184,12175,847,12929,36867,4805,3958,132044,2009
69," ""51185""","Tazewell, VA",798000,56636,114914,84722,746884,-1729,-2530,98997,1409844,58178,31244,1408115,47881,240590,420641,45069,3694,55648,157275,22069,18375,585077,2009
70," ""51187""","Warren, VA",582812,38204,75588,62214,911880,-3139,-3896,69311,1369962,58180,36703,1366823,398379,241410,213533,37240,4400,54284,106695,16993,12593,421833,2009
71," ""51193""","Westmoreland, VA",160006,12858,21565,15906,295584,7693,2437,20811,570993,19968,33166,578686,156389,144287,138815,17448,2048,22405,29518,5983,3935,108083,2009
72," ""51197""","Wythe, VA",489674,34190,74346,53392,460535,-3225,-5726,60886,837613,33997,28559,834388,31747,133570,240283,29216,3232,28271,101042,15347,12115,360361,2009
73," ""51510""","Alexandria (Independent City), VA",9563410,529264,1102006,1041632,7306560,0,0,1050080,9873831,863047,71798,9873831,-1206770,2003604,563667,137523,19353,863047,1622822,126442,107089,7077541,2009
74," ""51550""","Chesapeake (Independent City), VA",5127688,308146,644954,563056,6424867,8239,2916,589674,9077804,299829,41267,9086043,1886853,1496266,1164910,220176,19963,302745,926482,121598,101635,3898461,2009
