,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
0,"Accomack, VA",53367,1495,3775,2364,52841,3330,952,2677,69545,9546,2487,72875,2151,11604,8430,29308,2569,10498,4957,11427,8858,37912,1969
1,"Albemarle + Charlottesville, VA*",241622,7886,14148,14278,197246,3288,1718,15025,270215,21727,3617,273503,-29351,59822,16435,75621,4223,23445,21287,41492,37269,196890,1969
2,"Alexandria (Independent City), VA",419942,12458,33618,24612,515498,0,0,24764,662412,22627,6016,662412,120320,126243,20671,110100,7990,22627,45924,60630,52640,351391,1969
3,"Alleghany + Covington, VA*",78477,3033,4615,6038,62301,321,252,6052,79122,5652,2806,79443,-10124,8293,8849,28308,1053,5904,7634,11784,10731,64939,1969
4,"Amelia, VA",10021,298,394,428,14362,1848,1305,512,16275,1926,2353,18123,4853,2046,1715,7702,1008,3231,608,2938,1930,6182,1969
5,"Amherst, VA",32502,1149,1699,1792,51658,1018,668,2045,62889,4681,2457,63907,21201,6802,5447,26007,1237,5349,2595,7043,5806,24558,1969
6,"Appomattox, VA",15823,538,622,892,21894,1361,1130,984,26071,3057,2798,27432,7055,2856,2682,9803,1016,4187,1068,3692,2676,10568,1969
7,"Arlington, VA",1449325,28246,205237,69306,913117,0,0,62899,1195040,44472,6830,1195040,-473309,248372,33551,174981,7678,44472,239890,142138,134460,1164963,1969
8,"Augusta, Staunton + Waynesboro, VA*",256009,8469,13307,15340,231039,8519,6765,16139,274865,24318,3329,283384,-8831,34397,17948,85124,5667,31083,20977,41707,36040,203949,1969
9,"Bath, VA",10431,362,465,626,9824,663,422,675,12650,990,2560,13313,68,1850,1639,5201,478,1412,778,2614,2136,8241,1969
10,"Bedford, VA*",52469,1766,2886,3044,77692,3359,2392,3288,95338,7197,3017,98697,28511,12726,8279,32709,2436,9589,4408,11128,8692,38472,1969
11,"Bland, VA",6154,214,282,300,9065,638,441,364,10809,1107,2081,11447,3275,1038,1344,5502,653,1548,432,1831,1178,4174,1969
12,"Botetourt, VA",23724,912,1114,1586,43609,1237,488,1705,52753,4867,2966,53990,21590,5415,4966,18205,1273,5355,1907,4795,3522,16462,1969
13,"Brunswick, VA",27380,805,1090,1358,32058,4671,3899,1484,34691,4071,2399,39362,6162,3918,3386,16405,1979,7970,1769,6600,4621,17641,1969
14,"Buchanan, VA",72538,2343,7321,4354,57363,144,118,4520,69218,11659,2127,69362,-10655,4350,7649,32609,1277,11777,9498,10119,8842,51263,1969
15,"Buckingham, VA",13328,439,604,724,16700,1505,1228,801,20044,2423,2013,21549,4173,2484,2365,10703,902,3651,966,2945,2043,8711,1969
16,"Campbell + Lynchburg, VA*",349220,11884,19187,21912,264871,2906,2113,22840,332973,30189,3458,335879,-61509,45975,25033,97127,5065,32302,30143,56132,51067,286775,1969
17,"Caroline, VA",19020,554,1502,922,30251,381,-15,1015,37632,3289,2734,38013,12246,4890,2872,13904,923,3274,1963,3739,2816,13783,1969
18,"Carroll + Galax, VA*",57886,2026,2553,3616,50102,1409,954,3834,64290,7717,2226,65699,-3950,7900,7697,29508,2530,8671,4361,13116,10586,44854,1969
19,"Charles City, VA",2980,97,140,120,10935,597,344,157,13624,654,2331,14221,8112,2212,1074,6102,167,998,200,745,578,1782,1969
20,"Charlotte, VA",20355,611,769,1056,24024,3602,2967,1139,26807,3456,2432,30409,4808,3563,2822,12504,2117,6423,1297,5297,3180,12635,1969
21,"Chesapeake (Independent City), VA",121639,4216,6997,7460,274767,3198,1702,7946,321500,14370,3705,324698,161074,33895,16036,87641,3219,16072,10727,21800,18581,94840,1969
22,"Chesterfield, VA",229340,7024,16461,12546,273049,1103,562,13297,323949,22044,4373,325052,57006,37531,14472,74325,1341,22606,22734,28443,27102,184000,1969
23,"Clarke, VA",19368,547,829,884,21295,2666,1306,989,26419,3728,3590,29085,2916,5758,2032,8102,974,5034,1271,4312,3338,13063,1969
24,"Craig, VA",3103,115,185,156,6632,159,112,193,8814,581,2563,8973,3722,1345,996,3501,320,693,263,896,576,2147,1969
25,"Culpeper, VA",36898,1214,1957,1994,40668,1813,455,2211,52887,6055,3021,54700,5981,9603,4429,18105,1649,6510,2954,8161,6512,27434,1969
26,"Cumberland, VA",6256,180,187,188,11446,1320,916,274,12749,2315,2268,14069,5464,1301,1322,6202,662,3231,281,1566,904,2744,1969
27,"Dickenson, VA",30584,984,3399,1742,26822,151,89,1855,34460,5068,2110,34611,-1907,2312,5477,16405,617,5157,4270,4361,3744,21157,1969
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",166547,5537,10719,10060,176814,3329,2725,10567,224207,18036,2798,227536,20834,32440,18282,81323,3881,20761,15749,31131,27250,130037,1969
