,Year,State,CoC Name,Org Name,Program Name,Program Type,Award Amount
1135,2021,VA,,"Alexandria, VA",CDBG,,1190292.0
1136,2021,VA,,"Arlington County, VA",CDBG,,1342521.0
1137,2021,VA,,"Blacksburg, VA",CDBG,,562397.0
1138,2021,VA,,"Bristol, VA",CDBG,,269320.0
1139,2021,VA,,"Charlottesville, VA",CDBG,,433471.0
1140,2021,VA,,"Chesapeake, VA",CDBG,,1181436.0
1141,2021,VA,,"Chesterfield County, VA",CDBG,,1554040.0
1142,2021,VA,,"Christiansburg, VA",CDBG,,105947.0
1143,2021,VA,,"Colonial Heights, VA",CDBG,,111017.0
1144,2021,VA,,"Danville, VA",CDBG,,907295.0
1145,2021,VA,,"Fairfax County, VA",CDBG,,6128149.0
1146,2021,VA,,"Fredericksburg, VA",CDBG,,196281.0
1147,2021,VA,,"Hampton, VA",CDBG,,977922.0
1148,2021,VA,,"Harrisonburg, VA",CDBG,,540419.0
1149,2021,VA,,"Henrico County, VA",CDBG,,1747341.0
1150,2021,VA,,"Hopewell, VA",CDBG,,225151.0
1151,2021,VA,,"Loudoun County, VA",CDBG,,1463391.0
1152,2021,VA,,"Lynchburg, VA",CDBG,,729183.0
1153,2021,VA,,"Newport News, VA",CDBG,,1327413.0
1154,2021,VA,,"Norfolk, VA",CDBG,,4554454.0
1155,2021,VA,,"Petersburg, VA",CDBG,,628399.0
1156,2021,VA,,"Portsmouth, VA",CDBG,,1637701.0
1157,2021,VA,,"Prince William County, VA",CDBG,,2698739.0
1158,2021,VA,,"Radford, VA",CDBG,,185184.0
1159,2021,VA,,"Richmond, VA",CDBG,,4572370.0
1160,2021,VA,,"Roanoke, VA",CDBG,,1862245.0
1161,2021,VA,,"Staunton, VA",CDBG,,344362.0
1162,2021,VA,,"Suffolk, VA",CDBG,,504359.0
1163,2021,VA,,Virginia,CDBG,,19371346.0
1164,2021,VA,,"Virginia Beach, VA",CDBG,,2040441.0
1165,2021,VA,,"Waynesboro, VA",CDBG,,192838.0
1166,2021,VA,,"Winchester, VA",CDBG,,283033.0
4678,2020,VA,,"Alexandria, VA",CDBG,CV1,671570.0
4679,2020,VA,,"Alexandria, VA",CDBG,CV3,943356.0
4680,2020,VA,,"Alexandria, VA",CDBG,,1141608.0
4681,2020,VA,,"Arlington County, VA",CDBG,,1410969.0
4682,2020,VA,,"Arlington County, VA",CDBG,CV1,830027.0
4683,2020,VA,,"Arlington County, VA",CDBG,CV3,1348826.0
4684,2020,VA,,"Blacksburg, VA",CDBG,CV3,210594.0
4685,2020,VA,,"Blacksburg, VA",CDBG,,534243.0
4686,2020,VA,,"Blacksburg, VA",CDBG,CV1,314277.0
4687,2020,VA,,"Bristol, VA",CDBG,CV3,116003.0
4688,2020,VA,,"Bristol, VA",CDBG,,270304.0
4689,2020,VA,,"Bristol, VA",CDBG,CV1,159013.0
4690,2020,VA,,"Charlottesville, VA",CDBG,,419367.0
4691,2020,VA,,"Charlottesville, VA",CDBG,CV1,246699.0
4692,2020,VA,,"Charlottesville, VA",CDBG,CV3,335024.0
4693,2020,VA,,"Chesapeake, VA",CDBG,,1173205.0
4694,2020,VA,,"Chesapeake, VA",CDBG,CV1,690158.0
4695,2020,VA,,"Chesapeake, VA",CDBG,CV3,876358.0
4696,2020,VA,,"Chesterfield County, VA",CDBG,,1464122.0
4697,2020,VA,,"Chesterfield County, VA",CDBG,CV1,861295.0
4698,2020,VA,,"Chesterfield County, VA",CDBG,CV3,1216799.0
4699,2020,VA,,"Christiansburg, VA",CDBG,,105791.0
4700,2020,VA,,"Christiansburg, VA",CDBG,CV1,62234.0
4701,2020,VA,,"Christiansburg, VA",CDBG,CV3,111118.0
4702,2020,VA,,"Colonial Heights, VA",CDBG,CV1,62237.0
4703,2020,VA,,"Colonial Heights, VA",CDBG,,105797.0
4704,2020,VA,,"Colonial Heights, VA",CDBG,CV3,104710.0
4705,2020,VA,,"Danville, VA",CDBG,CV3,228845.0
4706,2020,VA,,"Danville, VA",CDBG,CV1,517740.0
4707,2020,VA,,"Danville, VA",CDBG,,880085.0
4708,2020,VA,,"Fairfax County, VA",CDBG,CV1,3506542.0
4709,2020,VA,,"Fairfax County, VA",CDBG,,5960799.0
4710,2020,VA,,"Fairfax County, VA",CDBG,CV3,4850209.0
4711,2020,VA,,"Fredericksburg, VA",CDBG,CV1,115302.0
4712,2020,VA,,"Fredericksburg, VA",CDBG,,196004.0
4713,2020,VA,,"Fredericksburg, VA",CDBG,CV3,205866.0
4714,2020,VA,,"Hampton, VA",CDBG,,999391.0
4715,2020,VA,,"Hampton, VA",CDBG,CV1,587909.0
4716,2020,VA,,"Hampton, VA",CDBG,CV3,688562.0
4717,2020,VA,,"Harrisonburg, VA",CDBG,,534269.0
4718,2020,VA,,"Harrisonburg, VA",CDBG,CV3,326630.0
4719,2020,VA,,"Harrisonburg, VA",CDBG,CV1,314293.0
4720,2020,VA,,"Henrico County, VA",CDBG,,1729959.0
4721,2020,VA,,"Henrico County, VA",CDBG,CV3,1417098.0
4722,2020,VA,,"Henrico County, VA",CDBG,CV1,1017678.0
4723,2020,VA,,"Hopewell, VA",CDBG,,210670.0
4724,2020,VA,,"Hopewell, VA",CDBG,CV3,125506.0
4725,2020,VA,,"Hopewell, VA",CDBG,CV1,123919.0
4726,2020,VA,,"Loudoun County, VA",CDBG,,1414208.0
4727,2020,VA,,"Loudoun County, VA",CDBG,CV1,831931.0
4728,2020,VA,,"Loudoun County, VA",CDBG,CV3,1448141.0
4729,2020,VA,,"Lynchburg, VA",CDBG,,714865.0
4730,2020,VA,,"Lynchburg, VA",CDBG,CV3,389143.0
4731,2020,VA,,"Lynchburg, VA",CDBG,CV1,420487.0
4732,2020,VA,,"Newport News, VA",CDBG,CV1,769836.0
4733,2020,VA,,"Newport News, VA",CDBG,CV3,971659.0
4734,2020,VA,,"Newport News, VA",CDBG,,1308649.0
4735,2020,VA,,"Norfolk, VA",CDBG,CV1,2653164.0
4736,2020,VA,,"Norfolk, VA",CDBG,CV3,1250901.0
4737,2020,VA,,"Norfolk, VA",CDBG,,4510021.0
4738,2020,VA,,"Petersburg, VA",CDBG,CV1,371969.0
4739,2020,VA,,"Petersburg, VA",CDBG,,632301.0
4740,2020,VA,,"Petersburg, VA",CDBG,CV3,189765.0
4741,2020,VA,,"Portsmouth, VA",CDBG,CV1,949655.0
4742,2020,VA,,"Portsmouth, VA",CDBG,CV3,426191.0
4743,2020,VA,,"Portsmouth, VA",CDBG,,1614295.0
4744,2020,VA,,"Prince William County, VA",CDBG,CV1,1585562.0
4745,2020,VA,,"Prince William County, VA",CDBG,,2695308.0
4746,2020,VA,,"Prince William County, VA",CDBG,CV3,2145011.0
4747,2020,VA,,"Radford, VA",CDBG,CV1,105448.0
4748,2020,VA,,"Radford, VA",CDBG,CV3,74893.0
